"Year","Env","Strain","Yld","Oil","Protein"
2012,"2012_IA","IA3023","2159.2","19.87","32.10"
2012,"2012_IA","LD04-11056","3463.2","20.31","31.95"
2012,"2012_IA","LD04-13265","3167.2","19.09","32.76"
2012,"2012_IA","U06-100052","2492.2","18.51","35.44"
2012,"2012_IA","IA3023","2502.3","20.14","32.11"
2012,"2012_IA","TN05-3027","2656.1","19.92","32.56"
2012,"2012_IA","DS11-02003","2264.8","19.78","32.85"
2012,"2012_IA","TN05-3027","2596.7","19.84","32.88"
2012,"2012_IA","DS11-02005","2834.5","19.30","32.61"
2012,"2012_IA","DS11-02006","2433.1","20.10","31.09"
2012,"2012_IA","DS11-02007","2769.5","19.71","32.54"
2012,"2012_IA","TN05-3027","2464.7","19.55","33.20"
2012,"2012_IA","TN05-3027","2472.8","19.73","32.53"
2012,"2012_IA","TN05-3027","2509.1","20.04","32.23"
2012,"2012_IA","TN05-3027","2170.7","19.75","32.80"
2012,"2012_IA","DS11-02014","2969.2","19.50","32.75"
2012,"2012_IA","TN05-3027","2131.2","19.25","33.58"
2012,"2012_IA","DS11-02017","2309.7","19.33","33.49"
2012,"2012_IA","DS11-02019","2859.5","20.17","32.47"
2012,"2012_IA","TN05-3027","2561.6","19.87","32.66"
2012,"2012_IA","DS11-02022","2556.3","19.93","32.56"
2012,"2012_IA","DS11-02023","2543.5","19.21","32.88"
2012,"2012_IA","DS11-02024","1692.7","19.57","34.01"
2012,"2012_IA","DS11-02025","1790.0","19.24","33.11"
2012,"2012_IA","DS11-02026","1940.5","20.28","31.29"
2012,"2012_IA","DS11-02027","2604.3","20.31","32.16"
2012,"2012_IA","DS11-02029","2199.2","19.80","33.63"
2012,"2012_IA","DS11-02030","1859.3","19.50","33.34"
2012,"2012_IA","DS11-02031","3104.2","19.36","33.18"
2012,"2012_IA","DS11-02032","2499.1","19.71","33.69"
2012,"2012_IA","DS11-02033","2217.3","20.46","32.27"
2012,"2012_IA","DS11-02035","2070.0","19.97","33.30"
2012,"2012_IA","DS11-02036","2343.7","19.19","31.70"
2012,"2012_IA","DS11-02037","2653.0","20.28","31.96"
2012,"2012_IA","DS11-02038","2570.4","19.00","34.01"
2012,"2012_IA","TN05-3027","2829.3","19.75","32.43"
2012,"2012_IA","DS11-02040","2246.6","19.74","32.82"
2012,"2012_IA","DS11-02042","2293.8","19.69","32.39"
2012,"2012_IA","DS11-02043","2559.3","20.05","32.75"
2012,"2012_IA","DS11-02044","2981.5","20.60","32.46"
2012,"2012_IA","IA3023","2978.5","19.69","32.40"
2012,"2012_IA","LD04-11056","3166.0","20.35","31.97"
2012,"2012_IA","LD04-13265","3440.4","18.64","33.22"
2012,"2012_IA","U06-100052","3321.4","17.98","35.61"
2012,"2012_IA","IA3023","2873.5","19.89","32.46"
2012,"2012_IA","TN05-3027","2683.5","19.71","32.71"
2012,"2012_IA","TN05-3027","2696.3","18.68","33.98"
2012,"2012_IA","DS11-02047","2508.0","19.19","33.34"
2012,"2012_IA","DS11-02049","2860.8","18.93","33.38"
2012,"2012_IA","DS11-02051","2996.3","19.36","32.88"
2012,"2012_IA","TN05-3027","2415.3","19.74","32.40"
2012,"2012_IA","DS11-02054","2455.1","18.95","32.78"
2012,"2012_IA","DS11-02040","3100.6","19.35","32.85"
2012,"2012_IA","TN05-3027","2680.4","19.51","32.80"
2012,"2012_IA","DS11-02057","3022.9","19.54","33.00"
2012,"2012_IA","DS11-02059","3051.0","19.31","34.01"
2012,"2012_IA","TN05-3027","2994.8","19.46","32.96"
2012,"2012_IA","DS11-02061","3045.9","19.90","31.69"
2012,"2012_IA","DS11-02063","3003.9","19.29","32.57"
2012,"2012_IA","DS11-02064","2521.1","18.85","35.52"
2012,"2012_IA","DS11-02065","2902.9","20.10","32.70"
2012,"2012_IA","DS11-02066","2495.7","19.11","33.35"
2012,"2012_IA","TN05-3027","2979.9","18.89","33.46"
2012,"2012_IA","TN05-3027","3291.1","18.19","33.70"
2012,"2012_IA","DS11-02069","3218.7","20.25","32.93"
2012,"2012_IA","DS11-02070","2957.8","17.84","33.43"
2012,"2012_IA","DS11-02071","2816.0","21.06","30.97"
2012,"2012_IA","TN05-3027","2996.3","19.31","33.19"
2012,"2012_IA","TN05-3027","2746.2","19.17","33.74"
2012,"2012_IA","TN05-3027","3047.5","18.78","33.77"
2012,"2012_IA","TN05-3027","2727.2","19.83","32.52"
2012,"2012_IA","TN05-3027","2843.5","19.20","33.18"
2012,"2012_IA","DS11-02078","2776.8","19.64","31.96"
2012,"2012_IA","TN05-3027","3194.5","18.11","33.92"
2012,"2012_IA","DS11-02080","2602.0","19.46","32.70"
2012,"2012_IA","TN05-3027","2515.8","19.61","32.99"
2012,"2012_IA","TN05-3027","2657.6","19.68","32.49"
2012,"2012_IA","DS11-02086","2787.4","20.81","31.71"
2012,"2012_IA","DS11-02089","3250.9","18.83","33.48"
